AFG,Afghanistan,South Asia,Low income
ALB,Albania,Europe & Central Asia,Upper middle income
DZA,Algeria,Middle East & North Africa,Upper middle income
ASM,American Samoa,East Asia & Pacific,Upper middle income
ADO,Andorra,Europe & Central Asia,High income: nonOECD
AGO,Angola,Sub-Saharan Africa,Upper middle income
ATG,Antigua and Barbuda,Latin America & Caribbean,High income: nonOECD
ARG,Argentina,Latin America & Caribbean,High income: nonOECD
ARM,Armenia,Europe & Central Asia,Lower middle income
ABW,Aruba,Latin America & Caribbean,High income: nonOECD
AUS,Australia,East Asia & Pacific,High income: OECD
AUT,Austria,Europe & Central Asia,High income: OECD
AZE,Azerbaijan,Europe & Central Asia,Upper middle income
BHS,"Bahamas, The",Latin America & Caribbean,High income: nonOECD
BHR,Bahrain,Middle East & North Africa,High income: nonOECD
BGD,Bangladesh,South Asia,Lower middle income
BRB,Barbados,Latin America & Caribbean,High income: nonOECD
BLR,Belarus,Europe & Central Asia,Upper middle income
BEL,Belgium,Europe & Central Asia,High income: OECD
BLZ,Belize,Latin America & Caribbean,Upper middle income
BEN,Benin,Sub-Saharan Africa,Low income
BMU,Bermuda,North America,High income: nonOECD
BTN,Bhutan,South Asia,Lower middle income
BOL,Bolivia,Latin America & Caribbean,Lower middle income
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BWA,Botswana,Sub-Saharan Africa,Upper middle income
BRA,Brazil,Latin America & Caribbean,Upper middle income
BRN,Brunei Darussalam,East Asia & Pacific,High income: nonOECD
BGR,Bulgaria,Europe & Central Asia,Upper middle income
BFA,Burkina Faso,Sub-Saharan Africa,Low income
BDI,Burundi,Sub-Saharan Africa,Low income
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income
KHM,Cambodia,East Asia & Pacific,Low income
CMR,Cameroon,Sub-Saharan Africa,Lower middle income
CAN,Canada,North America,High income: OECD
CYM,Cayman Islands,Latin America & Caribbean,High income: nonOECD
CAF,Central African Republic,Sub-Saharan Africa,Low income
TCD,Chad,Sub-Saharan Africa,Low income
CHI,Channel Islands,Europe & Central Asia,High income: nonOECD
CHL,Chile,Latin America & Caribbean,High income: OECD
CHN,China,East Asia & Pacific,Upper middle income
COL,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,Sub-Saharan Africa,Low income
ZAR,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Latin America & Caribbean,Upper middle income
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income
HRV,Croatia,Europe & Central Asia,High income: nonOECD
CUB,Cuba,Latin America & Caribbean,Upper middle income
CUW,Curaçao,Latin America & Caribbean,High income: nonOECD
CYP,Cyprus,Europe & Central Asia,High income: nonOECD
CZE,Czech Republic,Europe & Central Asia,High income: OECD
DNK,Denmark,Europe & Central Asia,High income: OECD
DJI,Djibouti,Middle East & North Africa,Lower middle income
DMA,Dominica,Latin America & Caribbean,Upper middle income
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income
ECU,Ecuador,Latin America & Caribbean,Upper middle income
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income
SLV,El Salvador,Latin America & Caribbean,Lower middle income
GNQ,Equatorial Guinea,Sub-Saharan Africa,High income: nonOECD
ERI,Eritrea,Sub-Saharan Africa,Low income
EST,Estonia,Europe & Central Asia,High income: OECD
ETH,Ethiopia,Sub-Saharan Africa,Low income
FRO,Faeroe Islands,Europe & Central Asia,High income: nonOECD
FJI,Fiji,East Asia & Pacific,Upper middle income
FIN,Finland,Europe & Central Asia,High income: OECD
FRA,France,Europe & Central Asia,High income: OECD
PYF,French Polynesia,East Asia & Pacific,High income: nonOECD
GAB,Gabon,Sub-Saharan Africa,Upper middle income
GMB,"Gambia, The",Sub-Saharan Africa,Low income
GEO,Georgia,Europe & Central Asia,Lower middle income
DEU,Germany,Europe & Central Asia,High income: OECD
GHA,Ghana,Sub-Saharan Africa,Lower middle income
GRC,Greece,Europe & Central Asia,High income: OECD
GRL,Greenland,Europe & Central Asia,High income: nonOECD
GRD,Grenada,Latin America & Caribbean,Upper middle income
GUM,Guam,East Asia & Pacific,High income: nonOECD
GTM,Guatemala,Latin America & Caribbean,Lower middle income
GIN,Guinea,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income
GUY,Guyana,Latin America & Caribbean,Lower middle income
HTI,Haiti,Latin America & Caribbean,Low income
HND,Honduras,Latin America & Caribbean,Lower middle income
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income: nonOECD
HUN,Hungary,Europe & Central Asia,High income: OECD
ISL,Iceland,Europe & Central Asia,High income: OECD
IND,India,South Asia,Lower middle income
IDN,Indonesia,East Asia & Pacific,Lower middle income
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income
IRQ,Iraq,Middle East & North Africa,Upper middle income
IRL,Ireland,Europe & Central Asia,High income: OECD
IMY,Isle of Man,Europe & Central Asia,High income: nonOECD
ISR,Israel,Middle East & North Africa,High income: OECD
ITA,Italy,Europe & Central Asia,High income: OECD
JAM,Jamaica,Latin America & Caribbean,Upper middle income
JPN,Japan,East Asia & Pacific,High income: OECD
JOR,Jordan,Middle East & North Africa,Upper middle income
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,Sub-Saharan Africa,Lower middle income
KIR,Kiribati,East Asia & Pacific,Lower middle income
PRK,"Korea, Dem. Rep.",East Asia & Pacific,Low income
KOR,"Korea, Rep.",East Asia & Pacific,High income: OECD
KSV,Kosovo,Europe & Central Asia,Lower middle income
KWT,Kuwait,Middle East & North Africa,High income: nonOECD
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income
LAO,Lao PDR,East Asia & Pacific,Lower middle income
LVA,Latvia,Europe & Central Asia,High income: nonOECD
LBN,Lebanon,Middle East & North Africa,Upper middle income
LSO,Lesotho,Sub-Saharan Africa,Lower middle income
LBR,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,Middle East & North Africa,Upper middle income
LIE,Liechtenstein,Europe & Central Asia,High income: nonOECD
LTU,Lithuania,Europe & Central Asia,High income: nonOECD
LUX,Luxembourg,Europe & Central Asia,High income: OECD
MAC,"Macao SAR, China",East Asia & Pacific,High income: nonOECD
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income
MDG,Madagascar,Sub-Saharan Africa,Low income
MWI,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,East Asia & Pacific,Upper middle income
MDV,Maldives,South Asia,Upper middle income
MLI,Mali,Sub-Saharan Africa,Low income
MLT,Malta,Middle East & North Africa,High income: nonOECD
MHL,Marshall Islands,East Asia & Pacific,Upper middle income
MRT,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Sub-Saharan Africa,Upper middle income
MEX,Mexico,Latin America & Caribbean,Upper middle income
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
MDA,Moldova,Europe & Central Asia,Lower middle income
MCO,Monaco,Europe & Central Asia,High income: nonOECD
MNG,Mongolia,East Asia & Pacific,Upper middle income
MNE,Montenegro,Europe & Central Asia,Upper middle income
MAR,Morocco,Middle East & North Africa,Lower middle income
MOZ,Mozambique,Sub-Saharan Africa,Low income
MMR,Myanmar,East Asia & Pacific,Lower middle income
NAM,Namibia,Sub-Saharan Africa,Upper middle income
NPL,Nepal,South Asia,Low income
NLD,Netherlands,Europe & Central Asia,High income: OECD
NCL,New Caledonia,East Asia & Pacific,High income: nonOECD
NZL,New Zealand,East Asia & Pacific,High income: OECD
NIC,Nicaragua,Latin America & Caribbean,Lower middle income
NER,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,Sub-Saharan Africa,Lower middle income
MNP,Northern Mariana Islands,East Asia & Pacific,High income: nonOECD
NOR,Norway,Europe & Central Asia,High income: OECD
OMN,Oman,Middle East & North Africa,High income: nonOECD
PAK,Pakistan,South Asia,Lower middle income
PLW,Palau,East Asia & Pacific,Upper middle income
PAN,Panama,Latin America & Caribbean,Upper middle income
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income
PRY,Paraguay,Latin America & Caribbean,Upper middle income
PER,Peru,Latin America & Caribbean,Upper middle income
PHL,Philippines,East Asia & Pacific,Lower middle income
POL,Poland,Europe & Central Asia,High income: OECD
PRT,Portugal,Europe & Central Asia,High income: OECD
PRI,Puerto Rico,Latin America & Caribbean,High income: nonOECD
QAT,Qatar,Middle East & North Africa,High income: nonOECD
ROM,Romania,Europe & Central Asia,Upper middle income
RUS,Russian Federation,Europe & Central Asia,High income: nonOECD
RWA,Rwanda,Sub-Saharan Africa,Low income
WSM,Samoa,East Asia & Pacific,Lower middle income
SMR,San Marino,Europe & Central Asia,High income: nonOECD
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income
SAU,Saudi Arabia,Middle East & North Africa,High income: nonOECD
SEN,Senegal,Sub-Saharan Africa,Lower middle income
SRB,Serbia,Europe & Central Asia,Upper middle income
SYC,Seychelles,Sub-Saharan Africa,High income: nonOECD
SLE,Sierra Leone,Sub-Saharan Africa,Low income
SGP,Singapore,East Asia & Pacific,High income: nonOECD
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income: nonOECD
SVK,Slovak Republic,Europe & Central Asia,High income: OECD
SVN,Slovenia,Europe & Central Asia,High income: OECD
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SOM,Somalia,Sub-Saharan Africa,Low income
ZAF,South Africa,Sub-Saharan Africa,Upper middle income
SSD,South Sudan,Sub-Saharan Africa,Low income
ESP,Spain,Europe & Central Asia,High income: OECD
LKA,Sri Lanka,South Asia,Lower middle income
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income: nonOECD
LCA,St. Lucia,Latin America & Caribbean,Upper middle income
MAF,St. Martin (French part),Latin America & Caribbean,High income: nonOECD
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
SDN,Sudan,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Latin America & Caribbean,Upper middle income
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income
SWE,Sweden,Europe & Central Asia,High income: OECD
CHE,Switzerland,Europe & Central Asia,High income: OECD
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income
TWN,"Taiwan, China",East Asia & Pacific,High income: nonOECD
TJK,Tajikistan,Europe & Central Asia,Lower middle income
TZA,Tanzania,Sub-Saharan Africa,Low income
THA,Thailand,East Asia & Pacific,Upper middle income
TMP,Timor-Leste,East Asia & Pacific,Lower middle income
TGO,Togo,Sub-Saharan Africa,Low income
TON,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Latin America & Caribbean,High income: nonOECD
TUN,Tunisia,Middle East & North Africa,Upper middle income
TUR,Turkey,Europe & Central Asia,Upper middle income
TKM,Turkmenistan,Europe & Central Asia,Upper middle income
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income: nonOECD
TUV,Tuvalu,East Asia & Pacific,Upper middle income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe & Central Asia,Lower middle income
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD
GBR,United Kingdom,Europe & Central Asia,High income: OECD
USA,United States,North America,High income: OECD
URY,Uruguay,Latin America & Caribbean,High income: nonOECD
UZB,Uzbekistan,Europe & Central Asia,Lower middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
VEN,"Venezuela, RB",Latin America & Caribbean,High income: nonOECD
VNM,Vietnam,East Asia & Pacific,Lower middle income
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income: nonOECD
WBG,West Bank and Gaza,Middle East & North Africa,Lower middle income
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income
ZMB,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Sub-Saharan Africa,Low income
