Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189,337,355,240,275,409,..
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,5,7,27,10,16,10,24,21,44,191,179
Algeria,..,..,..,..,..,..,..,84,113,131,165,150,126,157,141,131,101,82,53,38,31,22,..,..,..,..,..,..,..,..,..,..,..,..,..,27,35,49,27,46,28,31,44,39,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79,89,77,71,104,150,125,122,133,149,209,174,180,202,263,266,216,223,230,297,215,413,603,669,716,714,564,523,670,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,4,9,6,..,..,11,8,8,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,..
Argentina,..,..,..,..,..,..,..,..,16,28,36,27,18,19,22,18,20,21,..,..,..,..,142,163,177,195,207,232,247,250,268,256,120,180,235,314,356,463,630,767,"1,040","1,146",979,887,720
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,5,3,12,5,21,24,27,138,207,182,239,224,180,227,300,315,355,390
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,7,7,8,9,8,11,17,32,49,49,52,60,61,62,72,73,76,73,65,64,68,66,..
Australia,66,84,123,194,213,222,212,209,247,274,304,365,365,381,403,312,292,341,428,555,674,653,565,533,587,701,872,951,966,"1,055","1,053","1,059","1,219","1,777","2,253","1,531","2,051","2,981","3,366","3,224","4,655","6,589","7,275","7,352","6,921"
Austria,25,47,99,182,271,244,233,239,187,232,334,286,266,215,195,190,224,229,251,302,320,416,206,289,292,"1,485","1,452","1,303","1,319","1,370","1,298","1,422","1,518","1,874","2,226","2,120","1,406","1,594","1,913","1,881","2,017","2,613","2,520","3,625","3,786"
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,15,19,30,77,101,142,235,169,201,239,274,405,567,638,954,"1,280","2,073","1,903","2,031"
"Bahamas, The",..,..,..,..,..,..,27,29,39,27,42,31,35,27,32,34,32,40,47,40,46,55,39,37,40,44,58,50,51,62,73,75,82,100,119,84,100,95,66,63,88,120,140,139,151
Bahrain,..,..,..,..,..,263,293,347,449,323,330,368,373,345,384,778,716,673,669,694,332,369,336,396,431,500,559,635,725,856,"1,010","1,290",872,"1,080","1,120","1,223","1,531","1,483","1,774","1,391","1,642","2,050","2,074","2,166",..
Bangladesh,..,..,..,..,..,..,1,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,1,2,3,4,4,4,6,7,8,5,2,8,11,8,10,12,13,20,..
Barbados,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,5,4,7,6,8,9,10,11,15,20,16,18,19,19,20,20,22,18,41,36,55,39,37,35,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,17,12,192,141,111,97,58,77,68,65,82,52,70,103,171,133,116,134,142,151,177
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,843","2,326","2,620","2,427","2,564","3,202","4,048","4,238","4,150","4,573","4,231","4,470","5,036"
Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,5,5,6,6,7,6,6,6,7,7,8,10,9,7,11,17,18,21,19,19,21,21,28,23,22,24,26,32,33
Benin,..,..,..,..,3,3,1,1,2,2,2,2,24,22,29,11,3,3,16,15,21,21,21,21,23,26,34,17,30,6,9,10,7,6,6,34,61,108,74,70,63,62,88,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,172,178,191,213,239,215,217,219,..
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,61,61,48,71,92,74,58,49
Bolivia,..,..,..,..,..,..,2,2,2,2,2,2,2,2,2,3,5,4,7,8,8,9,9,10,10,9,13,12,15,32,37,36,38,46,51,67,73,79,106,103,102,117,147,172,189
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,11,14,20,62,40,55,65,55,55,46,52,47,48,51
Botswana,..,..,..,..,..,4,37,41,34,17,26,29,26,23,24,16,22,1,..,36,119,119,140,133,146,200,98,132,130,135,147,139,144,205,120,107,97,99,56,60,85,107,108,81,..
Brazil,..,..,..,..,..,108,103,114,147,27,152,154,168,19,5,6,10,10,7,9,12,22,34,203,252,347,409,375,444,330,366,709,360,333,401,374,529,563,813,731,922,910,897,"1,019","1,535"
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,97,354,376,405,430,420,445,..,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,16,3,4,26,27,14,13,29,35,50,103,162,101,25,26,27,43,22
Burkina Faso,..,..,..,..,14,31,30,41,34,39,52,45,36,40,36,41,49,58,57,56,81,71,70,62,51,..,..,..,..,..,45,44,50,77,79,84,86,93,100,99,112,..,..,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,7,9,6,5,6,5,8,7,4,5,5,2,2,2,2,2,3,4,1,0,0,0,0,1,5,6,5,7,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,3,5,4,3,5,3,5,0,0,0,0,2,7,12,5,6,6,10,12,8,9,10,10,9
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,38,52,77,39,136,122,104,110,133,109,129,128,120,118,171,159,171,150,134,181,..
Cameroon,..,..,..,..,..,..,..,11,20,37,102,101,98,118,106,139,135,137,160,115,111,95,135,107,62,22,37,40,34,28,30,42,56,57,42,56,92,90,56,130,54,81,73,65,..
Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,318","3,353","4,644","4,944","4,657","5,290","5,556","5,630","5,612","5,393"
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,11,15,11,20,16,18,17,15,15,24,29,33,31,36,35,35,36,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,..,..,..,12,8,9,4,1,1,3,..,11,18,25,35,31,39,39,47,41,15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,70,93,81,14,14,13,12,14,14,18,7,..,..,..,..,..,14,21,16,14,16,16,16,15,15,16,6,6,6,6,2,0,225,308,280
China,..,..,..,..,..,..,..,..,..,..,..,..,3,2,2,3,3,3,4,3,5,18,15,15,19,..,..,219,319,619,789,990,"1,223","1,597","1,996","3,123","3,025","4,372","6,349","4,444","1,754","3,566","4,274","4,443",..
Colombia,13,13,15,14,14,17,20,21,16,20,39,53,35,48,72,98,31,32,14,17,44,105,79,85,146,150,140,112,151,247,219,204,158,65,51,56,66,95,88,92,112,117,128,147,204
Comoros,..,..,..,..,..,..,..,..,..,..,2,1,5,4,5,5,7,6,4,5,4,6,11,5,6,4,..,..,..,..,..,..,..,..,..,0,0,0,1,1,1,1,1,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,6,7,5,28,32,32,26,37,31,57,40,55,136,16
"Congo, Rep.",..,..,..,..,..,..,..,..,9,18,39,22,24,30,34,34,39,53,55,40,55,52,53,45,23,27,38,35,35,46,37,32,35,39,49,66,81,102,..,..,..,..,..,..,..
