Bermuda,7.2,,,,
Bahamas,4.32,,,,
Japan,4.1,,,,
Ghana,3.68,,,,
United States,3.52,,,,
Iceland,3.21,,,,
South Korea,3.01,,,,
Norway,2.91,,,,
Canada,2.9,,,,
Sweden,2.67,,,,
Taiwan,2.53,,,,
Switzerland,2.42,,,,
Iran,2.33,,,,
Hong Kong,2.31,,,,
Kuwait,2.3,,,,
United Arab Emirates,2.3,,,,
Qatar,2.3,,,,
Finland,2.21,,,,
Israel,2.16,,,,
Italy,2.16,,,,
Denmark,2.14,,,,
Puerto Rico,2.11,,,,
Australia,2.11,,,,
Costa Rica,2.1,,,,
Zambia,2.08,,,,
Austria,2.01,,,,
Argentina,1.99,,,,
United Kingdom,1.97,,,,
Singapore,1.97,,,,
Bahrain,1.94,,,,
Belgium,1.94,,,,
Ireland,1.94,,,,
Zimbabwe,1.9,,,,
Malta,1.87,,,,
New Zealand,1.86,,,,
France,1.86,,,,
Oman,1.81,,,,
Maldives,1.8,,,,
Nigeria,1.8,,,,
Cyprus,1.8,,,,
Iraq,1.79,,,,
Greece,1.77,,,,
Saudi Arabia,1.75,,,,
Turkey,1.7,,,,
Lebanon,1.7,,,,
Netherlands,1.7,,,,
Panama,1.67,,,,
Uzbekistan,1.65,,,,
Libya,1.64,,,,
Slovenia,1.62,,,,
Germany,1.61,,,,
Palestinian Territory,1.59,,,,
Honduras,1.53,,,,
Croatia,1.5,,,,
Jordan,1.46,,,,
Ecuador,1.45,,,,
Lithuania,1.41,,,,
Latvia,1.39,,,,
Luxembourg,1.38,,,,
Jamaica,1.37,,,,
Kenya,1.34,,,,
Macedonia,1.32,,,,
Ethiopia,1.3,,,,
Czech Republic,1.28,,,,
Namibia,1.27,,,,
Bolivia,1.26,,,,
Dominican Republic,1.24,,,,
Morocco,1.22,,,,
El Salvador,1.22,,,,
Guatemala,1.2,,,,
Bulgaria,1.2,,,,
Slovakia,1.2,,,,
Chile,1.17,,,,
Uruguay,1.17,,,,
Pakistan,1.17,,,,
Estonia,1.14,,,,
Myanmar,1.14,,,,
Bosnia And Herzegovina,1.14,,,,
Armenia,1.14,,,,
Montenegro,1.13,,,,
Syria,1.11,,,,
Tanzania,1.09,,,,
South Africa,1.09,,,,
Thailand,1.08,,,,
Albania,1.07,,,,
Serbia,1.07,,,,
Spain,1.06,,,,
Romania,1.05,,,,
Uganda,1.03,,,,
Azerbaijan,1.02,,,,
Ukraine,1.01,,,,
China,1.01,,,,
Belarus,1,,,,
Malaysia,0.99,,,,
Hungary,0.96,,,,
Portugal,0.95,,,,
Russia,0.95,,,,
Peru,0.92,,,,
Philippines,0.92,,,,
Colombia,0.87,,,,
Brunei,0.86,,,,
Poland,0.85,,,,
Tunisia,0.85,,,,
Algeria,0.85,,,,
Brazil,0.84,,,,
Mexico,0.84,,,,
Georgia,0.83,,,,
Indonesia,0.83,,,,
Cambodia,0.79,,,,
Vietnam,0.78,,,,
Moldova,0.77,,,,
India,0.7,,,,
Egypt,0.64,,,,
Nepal,0.63,,,,
Kazakhstan,0.62,,,,
Venezuela,0.61,,,,
Bangladesh,0.61,,,,
Sri Lanka,0.54,,,,
Afghanistan,0.89,,,,
